SETU_CCNCT,pollutant,localidad,LL_years_count,years_as_LL,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000008518,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,17281,1447,3792,0.0161111111111111,4
110011000000008520,CO,USAQUEN,8,2011;2018;2019;2020;2021;2022;2023;2024,5089,402,956,0.0852272727272727,6
110011000000009105,CO,SUBA,8,2014;2018;2019;2020;2021;2022;2023;2024,20646,1905,3625,0.0251219512195122,4
110011000000009115,CO,SUBA,8,2014;2018;2019;2020;2021;2022;2023;2024,63212,6437,9586,0.0369512195121951,4
110011000000009201,CO,SUBA,8,2014;2018;2019;2020;2021;2022;2023;2024,19471,2284,2314,0.0705714285714285,2
110011000000009202,CO,SUBA,8,2014;2018;2019;2020;2021;2022;2023;2024,12126,1295,1437,0.0608928571428571,3
110011000000009207,CO,SUBA,8,2014;2018;2019;2020;2021;2022;2023;2024,34641,4888,3818,0.1016666666666667,2
110011000000001105,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,3648,529,304,0.1844230769230769,2
110011000000001106,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,19118,2531,2163,0.1605384615384615,2
110011000000001108,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,13085,1700,1514,0.09625,2
110011000000001308,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,17324,2282,1924,0.1395495495495495,2
110011000000001309,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,12523,1712,1399,0.1177777777777778,2
110011000000001310,CO,SAN CRISTOBAL,7,2010;2011;2012;2015;2022;2023;2024,7774,1074,920,0.1184782608695652,2
110011000000001318,CO,USME,7,2011;2012;2015;2021;2022;2023;2024,3410,479,358,0.2154285714285714,2
110011000000001324,CO,SAN CRISTOBAL,7,2011;2012;2015;2021;2022;2023;2024,10012,1386,1128,0.1588659793814433,2
110011000000002535,CO,SAN CRISTOBAL,7,2010;2011;2015;2016;2017;2021;2024,36436,4702,4173,0.1391519434628975,2
110011000000002539,CO,USME,7,2010;2011;2015;2021;2022;2023;2024,8552,1299,954,0.1579338842975206,2
110011000000002541,CO,USME,7,2010;2011;2015;2021;2022;2023;2024,14443,2213,1329,0.2498989898989899,1
110011000000002570,CO,USME,7,2010;2011;2015;2021;2022;2023;2024,535,87,56,0.3952941176470588,1
