contaminante,año,quintil_IPM,n_sectores_en_LISA,n_sectores_HH,tasa_HH,ratio_vs_Q1
eBC,2021,Q5,118,29,0.2458,1.851
eBC,2022,Q1,128,8,0.0625,1.0
eBC,2022,Q2,128,20,0.1562,2.499
eBC,2022,Q3,126,34,0.2698,4.317
eBC,2022,Q4,125,42,0.336,5.376
eBC,2022,Q5,118,30,0.2542,4.067
eBC,2023,Q1,128,16,0.125,1.0
eBC,2023,Q2,128,39,0.3047,2.438
eBC,2023,Q3,126,30,0.2381,1.905
eBC,2023,Q4,125,22,0.176,1.408
eBC,2023,Q5,118,13,0.1102,0.882
