pollutant,count,mean,median,p5,p25,p75,p95,min,max,std
CO,9465,905.2215707123469,912.1061695364978,555.8258574062298,759.4292586709292,1042.4095600408173,1225.8729180761368,384.91994742131743,1894.5223968542512,208.77998744662645
NO2,8203,30.39102184057608,29.909067109865628,22.642096169798325,26.683337945952278,33.27187543696404,40.95199943542539,11.269296158084254,48.968247762168346,5.520539144742144
O3,9465,78.83250700304635,78.39871386655611,59.499071165963784,68.37103561442021,87.08231561615348,102.21118531912482,35.201339014868246,128.90016724153116,13.226846709637028
PM10,9465,40.60110499433263,39.47314356802195,24.616455723382572,31.111672152267644,46.984518248709875,63.70128447932355,20.16698466339329,88.26124371343944,11.980917919900143
PM2.5,9465,17.206631625437392,16.76258087158203,12.456864547729491,14.60054931640625,19.174087524414062,23.997211514893557,7.20629403250558,35.17843424479167,3.568408190347995
SO2,8203,5.27286179315862,4.368108255540947,2.752082612537018,3.6379349716256577,6.059426693856988,11.399372590197771,1.4081195028463034,21.56755930584974,2.7091420458758546
eBC,1893,4.165388969396854,4.121740479143784,2.8731222719985006,3.601461652526603,4.64860167757101,5.612837496283293,2.223062040773113,6.223327959993709,0.8125302177502681
