SETU_CCNCT,pollutant,localidad,HH_years_count,years_as_HH,total_population,children_0_9,older_adults_60_plus,IPM_PROMEDIO,ESTRATO_MAYORITARIO
110011000000002565,CO,CIUDAD BOLIVAR,11,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2022,20436,2986,1795,0.1484897959183674,1
110011000000004404,CO,PUENTE ARANDA,11,2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023,3998,394,662,0.0621739130434782,3
110011000000004511,CO,KENNEDY,11,2010;2011;2012;2013;2014;2019;2020;2021;2022;2023;2024,11010,1148,2159,0.0720238095238095,3
110011000000004522,CO,KENNEDY,11,2010;2011;2012;2013;2014;2017;2019;2020;2021;2023;2024,18434,2520,2016,0.1008666666666667,2
110011000000004525,CO,KENNEDY,11,2010;2011;2012;2013;2014;2017;2019;2020;2021;2023;2024,28724,4072,3324,0.1241242937853107,2
110011000000004532,CO,KENNEDY,11,2010;2011;2012;2013;2014;2017;2019;2020;2021;2023;2024,26015,2987,4227,0.0826506024096385,3
110011000000002407,CO,TUNJUELITO,10,2011;2012;2013;2014;2018;2019;2020;2021;2022;2023,9389,1243,1218,0.104468085106383,2
110011000000002417,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,25361,4185,2391,0.1430898876404494,1
110011000000002418,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,18272,3025,1692,0.2278651685393259,1
110011000000002420,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,17900,2577,1814,0.1313736263736264,1
110011000000002422,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,11139,1816,720,0.2281578947368421,1
110011000000002423,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,8607,1459,571,0.2298,1
110011000000002424,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,3809,672,277,0.1942553191489362,1
110011000000002425,CO,CIUDAD BOLIVAR,10,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020,11545,2134,668,0.3534579439252337,1
110011000000002518,CO,CIUDAD BOLIVAR,10,2011;2012;2013;2014;2018;2019;2020;2021;2022;2023,21745,2571,2013,0.098440366972477,2
110011000000004309,CO,PUENTE ARANDA,10,2011;2012;2013;2014;2018;2019;2020;2021;2022;2024,8108,798,1486,0.0667441860465116,3
110011000000004403,CO,PUENTE ARANDA,10,2011;2012;2013;2014;2018;2019;2020;2021;2022;2023,13776,1175,2577,0.0250537634408602,3
110011000000004502,CO,KENNEDY,10,2011;2012;2013;2014;2019;2020;2021;2022;2023;2024,36328,4273,4437,0.0864566929133858,3
110011000000004529,CO,BOSA,10,2010;2011;2012;2013;2014;2017;2020;2021;2023;2024,14239,1633,2147,0.0675,2
110011000000002309,CO,PUENTE ARANDA,9,2011;2012;2013;2018;2019;2020;2021;2022;2023,4241,342,863,0.02,3
110011000000002411,CO,CIUDAD BOLIVAR,9,2011;2012;2013;2018;2019;2020;2021;2022;2023,13419,1318,1725,0.031875,3
110011000000002426,CO,CIUDAD BOLIVAR,9,2010;2011;2012;2013;2014;2017;2018;2019;2020,117,19,6,0.1,1
110011000000002428,CO,CIUDAD BOLIVAR,9,2010;2011;2012;2013;2014;2017;2018;2019;2020,179,32,9,0.42,1
110011000000002515,CO,CIUDAD BOLIVAR,9,2010;2011;2012;2013;2014;2018;2019;2020;2022,12259,1757,1485,0.132948717948718,2
110011000000002563,CO,CIUDAD BOLIVAR,9,2010;2011;2012;2013;2014;2018;2019;2020;2022,12726,1912,1542,0.1675,1
110011000000002575,CO,CIUDAD BOLIVAR,9,2010;2011;2012;2013;2014;2017;2018;2019;2020,1167,299,35,0.2333333333333334,1
110011000000004304,CO,KENNEDY,9,2011;2012;2014;2019;2020;2021;2022;2023;2024,22699,2490,3319,0.0863829787234042,3
110011000000004412,CO,PUENTE ARANDA,9,2011;2012;2013;2014;2018;2019;2020;2021;2022,9506,857,1646,0.0259183673469387,3
110011000000004501,CO,KENNEDY,9,2011;2012;2014;2019;2020;2021;2022;2023;2024,10119,873,1973,0.0504878048780487,3
110011000000004514,CO,KENNEDY,9,2010;2011;2012;2014;2020;2021;2022;2023;2024,14929,1517,2810,0.0771212121212121,3
110011000000004520,CO,KENNEDY,9,2010;2011;2012;2013;2014;2020;2021;2023;2024,12112,1792,1173,0.1333783783783784,2
110011000000004524,CO,BOSA,9,2010;2011;2012;2013;2014;2017;2020;2023;2024,8335,1091,1186,0.1175438596491228,2
110011000000004528,CO,BOSA,9,2010;2011;2012;2013;2014;2017;2020;2023;2024,69311,10697,6677,0.1554084507042253,2
110011000000004533,CO,KENNEDY,9,2010;2011;2012;2013;2014;2020;2021;2023;2024,30378,3463,4725,0.0833898305084745,3
110011000000002301,CO,PUENTE ARANDA,8,2012;2013;2018;2019;2020;2021;2022;2023,4639,420,816,0.0863636363636363,3
110011000000002306,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,3838,486,536,0.0908333333333333,3
110011000000002307,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,12133,1429,1868,0.1188135593220339,3
110011000000002308,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,9583,1105,1508,0.0929545454545454,3
110011000000002310,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,6332,801,958,0.0753125,3
110011000000002401,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,9571,929,1659,0.0512,3
110011000000002406,CO,RAFAEL URIBE URIBE,8,2012;2013;2018;2019;2020;2021;2022;2023,13647,1692,1747,0.107258064516129,2
110011000000004508,CO,KENNEDY,8,2010;2011;2012;2014;2020;2021;2023;2024,10552,1180,1618,0.0877966101694915,3
110011000000004513,CO,KENNEDY,8,2010;2011;2012;2014;2021;2022;2023;2024,5666,898,498,0.2665217391304348,2
110011000000004515,CO,KENNEDY,8,2010;2011;2012;2014;2020;2021;2023;2024,27037,3719,3374,0.0926347305389221,2
110011000000004527,CO,BOSA,8,2010;2011;2012;2014;2017;2020;2023;2024,49500,6799,5367,0.11788,2
